story,word,pos,lemma
story1.txt,",",PUNCT,","
story1.txt,“,PUNCT,""""
story1.txt,Lenore,PROPN,Lenore
story1.txt,?,PUNCT,?
story1.txt,”,PUNCT,""""
story1.txt,"

",SPACE,"

"
story1.txt,This,PRON,this
story1.txt,I,PRON,I
story1.txt,whispered,VERB,whisper
story1.txt,",",PUNCT,","
story1.txt,and,CCONJ,and
story1.txt,an,DET,an
story1.txt,echo,NOUN,echo
story1.txt,murmured,VERB,murmur
story1.txt,back,ADP,back
story1.txt,the,DET,the
story1.txt,word,NOUN,word
story1.txt,",",PUNCT,","
story1.txt,“,PUNCT,""""
story1.txt,Lenore,PROPN,Lenore
story1.txt,!,PUNCT,!
story1.txt,”,PUNCT,""""
story1.txt,—,PUNCT,—
story1.txt,"

",SPACE,"

"
story1.txt,Merely,ADV,merely
story1.txt,this,PRON,this
story1.txt,and,CCONJ,and
story1.txt,nothing,PRON,nothing
story1.txt,more,ADJ,more
story1.txt,.,PUNCT,.
story1.txt,"



",SPACE,"



"
story1.txt,Back,ADV,back
story1.txt,into,ADP,into
story1.txt,the,DET,the
story1.txt,chamber,NOUN,chamber
story1.txt,turning,NOUN,turning
story1.txt,",",PUNCT,","
story1.txt,all,DET,all
story1.txt,my,PRON,my
story1.txt,soul,NOUN,soul
story1.txt,within,ADP,within
story1.txt,me,PRON,I
story1.txt,burning,VERB,burn
story1.txt,",",PUNCT,","
story1.txt,"

",SPACE,"

"
story1.txt,Soon,ADV,soon
story1.txt,again,ADV,again
story1.txt,I,PRON,I
story1.txt,heard,VERB,hear
story1.txt,a,DET,a
story1.txt,tapping,VERB,tap
story1.txt,somewhat,ADV,somewhat
story1.txt,louder,ADV,louder
story1.txt,than,ADP,than
story1.txt,before,ADV,before
story1.txt,.,PUNCT,.
story1.txt,"

",SPACE,"

"
story1.txt,“,PUNCT,""""
story1.txt,Surely,ADV,surely
story1.txt,",",PUNCT,","
story1.txt,”,PUNCT,""""
story1.txt,said,VERB,say
story1.txt,I,PRON,I
story1.txt,",",PUNCT,","
story1.txt,“,PUNCT,""""
story1.txt,surely,ADV,surely
story1.txt,that,PRON,that
