story,word,pos,lemma
story5.txt,”,PUNCT,""""
story5.txt,yawned,VERB,yawn
story5.txt,Zapoikin,PROPN,Zapoikin
story5.txt,.,PUNCT,.
story5.txt,“,PUNCT,""""
story5.txt,You,PRON,you
story5.txt,mean,VERB,mean
story5.txt,the,DET,the
story5.txt,drunken,ADJ,drunken
story5.txt,one,NUM,one
story5.txt,?,PUNCT,?
story5.txt,”,PUNCT,""""
story5.txt,"

",SPACE,"

"
story5.txt,“,PUNCT,""""
story5.txt,Yes,INTJ,yes
story5.txt,.,PUNCT,.
story5.txt,There,PRON,there
story5.txt,will,AUX,will
story5.txt,be,AUX,be
story5.txt,pancakes,NOUN,pancake
story5.txt,",",PUNCT,","
story5.txt,a,DET,a
story5.txt,lunch,NOUN,lunch
story5.txt,.,PUNCT,.
story5.txt,.,PUNCT,.
story5.txt,.,PUNCT,.
story5.txt,you,PRON,you
story5.txt,’ll,AUX,’ll
story5.txt,get,VERB,get
story5.txt,your,PRON,your
story5.txt,cab,NOUN,cab
story5.txt,-,PUNCT,-
story5.txt,fare,NOUN,fare
story5.txt,.,PUNCT,.
story5.txt,Come,VERB,come
story5.txt,along,ADP,along
story5.txt,",",PUNCT,","
story5.txt,dear,ADJ,dear
story5.txt,chap,NOUN,chap
story5.txt,.,PUNCT,.
story5.txt,You,PRON,you
story5.txt,spout,VERB,spout
story5.txt,out,ADP,out
story5.txt,some,DET,some
story5.txt,rigmarole,NOUN,rigmarole
story5.txt,like,ADP,like
story5.txt,a,DET,a
story5.txt,regular,ADJ,regular
story5.txt,Cicero,PROPN,Cicero
story5.txt,at,ADP,at
story5.txt,the,DET,the
story5.txt,grave,NOUN,grave
story5.txt,and,CCONJ,and
story5.txt,what,PRON,what
story5.txt,gratitude,NOUN,gratitude
story5.txt,you,PRON,you
story5.txt,will,AUX,will
story5.txt,earn,VERB,earn
story5.txt,!,PUNCT,!
story5.txt,”,PUNCT,""""
story5.txt,"

",SPACE,"

"
story5.txt,Zapoikin,PROPN,Zapoikin
story5.txt,readily,ADV,readily
story5.txt,agreed,VERB,agree
story5.txt,.,PUNCT,.
story5.txt,He,PRON,he
story5.txt,ruffled,VERB,ruffle
story5.txt,up,ADP,up
story5.txt,his,PRON,his
story5.txt,hair,NOUN,hair
story5.txt,",",PUNCT,","
story5.txt,cast,VERB,cast
story5.txt,a,DET,a
story5.txt,shade,NOUN,shade
story5.txt,of,ADP,of
story5.txt,melancholy,ADJ,melancholy
story5.txt,over,ADP,over
story5.txt,his,PRON,his
story5.txt,face,NOUN,face
story5.txt,",",PUNCT,","
story5.txt,and,CCONJ,and
story5.txt,went,VERB,go
story5.txt,out,ADP,out
story5.txt,into,ADP,into
story5.txt,the,DET,the
story5.txt,street,NOUN,street
story5.txt,with,ADP,with
story5.txt,Poplavsky,PROPN,Poplavsky
story5.txt,.,PUNCT,.
story5.txt,"

",SPACE,"

"
story5.txt,“,PUNCT,""""
story5.txt,I,PRON,I
story5.txt,know,VERB,know
story5.txt,your,PRON,your
story5.txt,secretary,NOUN,secretary
story5.txt,",",PUNCT,","
story5.txt,”,PUNCT,""""
story5.txt,he,PRON,he
story5.txt,said,VERB,say
story5.txt,",",PUNCT,","
story5.txt,as,SCONJ,as
story5.txt,he,PRON,he
story5.txt,got,VERB,get
story5.txt,into,ADP,into
story5.txt,the,DET,the
story5.txt,cab,NOUN,cab
story5.txt,.,PUNCT,.
story5.txt,“,PUNCT,""""
story5.txt,A,DET,a
story5.txt,cunning,ADJ,cunning
story5.txt,rogue,NOUN,rogue
story5.txt,and,CCONJ,and
story5.txt,a,DET,a
story5.txt,beast,NOUN,beast
story5.txt,—,PUNCT,—
story5.txt,the,DET,the
story5.txt,kingdom,NOUN,kingdom
story5.txt,of,ADP,of
story5.txt,heaven,PROPN,heaven
story5.txt,be,AUX,be
story5.txt,his,PRON,his
story5.txt,—,PUNCT,—
story5.txt,such,ADJ,such
story5.txt,as,SCONJ,as
story5.txt,you,PRON,you
story5.txt,do,AUX,do
story5.txt,n’t,PART,not
story5.txt,often,ADV,often
story5.txt,come,VERB,come
story5.txt,across,ADP,across
story5.txt,.,PUNCT,.
story5.txt,”,PUNCT,""""
story5.txt,"

",SPACE,"

"
story5.txt,“,PUNCT,""""
story5.txt,Come,PROPN,Come
story5.txt,",",PUNCT,","
story5.txt,Grisha,PROPN,Grisha
story5.txt,",",PUNCT,","
story5.txt,it,PRON,it
story5.txt,is,AUX,be
story5.txt,not,PART,not
story5.txt,the,DET,the
story5.txt,thing,NOUN,thing
story5.txt,to,PART,to
story5.txt,abuse,VERB,abuse
story5.txt,the,DET,the
story5.txt,dead,ADJ,dead
story5.txt,.,PUNCT,.
story5.txt,”,PUNCT,""""
story5.txt,"

",SPACE,"

"
story5.txt,“,PUNCT,""""
story5.txt,Of,ADV,of
story5.txt,course,ADV,course
story5.txt,not,PART,not
story5.txt,",",PUNCT,","
story5.txt,aut,PROPN,aut
story5.txt,mortuis,PROPN,mortuis
story5.txt,nihil,PROPN,nihil
story5.txt,bene,NOUN,bene
story5.txt,",",PUNCT,","
story5.txt,but,CCONJ,but
story5.txt,still,ADV,still
story5.txt,he,PRON,he
story5.txt,was,AUX,be
story5.txt,a,DET,a
story5.txt,rascal,NOUN,rascal
story5.txt,.,PUNCT,.
story5.txt,”,PUNCT,""""
story5.txt,"

",SPACE,"

"
story5.txt,The,DET,the
story5.txt,friends,NOUN,friend
story5.txt,overtook,VERB,overtake
story5.txt,the,DET,the
story5.txt,funeral,NOUN,funeral
story5.txt,procession,NOUN,procession
story5.txt,and,CCONJ,and
story5.txt,joined,VERB,join
story5.txt,it,PRON,it
story5.txt,.,PUNCT,.
story5.txt,The,DET,the
story5.txt,coffin,NOUN,coffin
story5.txt,was,AUX,be
story5.txt,borne,VERB,bear
story5.txt,along,ADV,along
story5.txt,slowly,ADV,slowly
story5.txt,so,SCONJ,so
story5.txt,that,SCONJ,that
story5.txt,before,SCONJ,before
story5.txt,they,PRON,they
story5.txt,reached,VERB,reach
story5.txt,the,DET,the
story5.txt,cemetery,NOUN,cemetery
story5.txt,they,PRON,they
story5.txt,were,AUX,be
story5.txt,able,ADJ,able
story5.txt,three,NUM,three
story5.txt,times,NOUN,time
story5.txt,to,PART,to
story5.txt,drop,VERB,drop
story5.txt,into,ADP,into
story5.txt,a,DET,a
story5.txt,tavern,NOUN,tavern
story5.txt,and,CCONJ,and
story5.txt,imbibe,VERB,imbibe
story5.txt,a,DET,a
story5.txt,little,ADJ,little
story5.txt,to,ADP,to
story5.txt,the,DET,the
story5.txt,health,NOUN,health
story5.txt,of,ADP,of
story5.txt,the,DET,the
story5.txt,departed,VERB,depart
story5.txt,.,PUNCT,.
story5.txt,"

",SPACE,"

"
story5.txt,In,ADP,in
story5.txt,the,DET,the
story5.txt,cemetery,NOUN,cemetery
story5.txt,came,VERB,come
story5.txt,the,DET,the
story5.txt,service,NOUN,service
story5.txt,by,ADP,by
story5.txt,the,DET,the
story5.txt,graveside,NOUN,graveside
story5.txt,.,PUNCT,.
story5.txt,The,DET,the
story5.txt,mother,NOUN,mother
story5.txt,-,PUNCT,-
story5.txt,in,ADP,in
story5.txt,-,PUNCT,-
story5.txt,law,NOUN,law
story5.txt,",",PUNCT,","
story5.txt,the,DET,the
story5.txt,wife,NOUN,wife
story5.txt,",",PUNCT,","
story5.txt,and,CCONJ,and
story5.txt,the,DET,the
story5.txt,sister,NOUN,sister
story5.txt,-,PUNCT,-
story5.txt,in,ADP,in
story5.txt,-,PUNCT,-
story5.txt,law,NOUN,law
story5.txt,in,ADP,in
story5.txt,obedience,NOUN,obedience
story5.txt,to,ADP,to
story5.txt,custom,NOUN,custom
story5.txt,shed,VERB,shed
story5.txt,many,ADJ,many
story5.txt,tears,NOUN,tear
story5.txt,.,PUNCT,.
story5.txt,When,SCONJ,when
story5.txt,the,DET,the
story5.txt,coffin,NOUN,coffin
story5.txt,was,AUX,be
story5.txt,being,AUX,be
story5.txt,lowered,VERB,lower
story5.txt,into,ADP,into
story5.txt,the,DET,the
story5.txt,grave,NOUN,grave
story5.txt,the,DET,the
story5.txt,wife,NOUN,wife
story5.txt,even,ADV,even
story5.txt,shrieked,VERB,shriek
story5.txt,“,PUNCT,""""
story5.txt,Let,VERB,let
story5.txt,me,PRON,I
story5.txt,go,VERB,go
story5.txt,with,ADP,with
story5.txt,him,PRON,he
story5.txt,!,PUNCT,!
story5.txt,”,PUNCT,""""
story5.txt,but,CCONJ,but
story5.txt,did,AUX,do
story5.txt,not,PART,not
story5.txt,follow,VERB,follow
story5.txt,her,PRON,her
story5.txt,husband,NOUN,husband
story5.txt,into,ADP,into
story5.txt,the,DET,the
story5.txt,grave,NOUN,grave
story5.txt,probably,ADV,probably
story5.txt,recollecting,VERB,recollect
story5.txt,her,PRON,her
story5.txt,pension,NOUN,pension
story5.txt,.,PUNCT,.
story5.txt,Waiting,VERB,wait
